Segment,Country,Product,"Discount Band","Units Sold","Manufacturing Price","Sale Price","Gross Sales",Discounts,Sales,COGS,Profit,Date,"Month Number","Month Name",Year
Midmarket,France," Paseo "," None ",549," $10.00 "," $15.00 "," $8,235.00 "," $-   "," $8,235.00 "," $5,490.00 "," $2,745.00 ",9/1/2013,9," September ",2013
"Small Business",Mexico," Paseo "," None ",788," $10.00 "," $300.00 "," $236,400.00 "," $-   "," $236,400.00 "," $197,000.00 "," $39,400.00 ",9/1/2013,9," September ",2013
Government,France," VTT "," None ",1527," $250.00 "," $350.00 "," $534,450.00 "," $-   "," $534,450.00 "," $397,020.00 "," $137,430.00 ",9/1/2013,9," September ",2013
Enterprise,"United States of America"," Carretera "," Low ",330," $3.00 "," $125.00 "," $41,250.00 "," $412.50 "," $40,837.50 "," $39,600.00 "," $1,237.50 ",9/1/2013,9," September ",2013
"Small Business","United States of America"," Montana "," Low ",2498," $5.00 "," $300.00 "," $749,400.00 "," $7,494.00 "," $741,906.00 "," $624,500.00 "," $117,406.00 ",9/1/2013,9," September ",2013
"Channel Partners","United States of America"," Amarilla "," Low ",1989," $260.00 "," $12.00 "," $23,868.00 "," $238.68 "," $23,629.32 "," $5,967.00 "," $17,662.32 ",9/1/2013,9," September ",2013
Government,Germany," Montana "," Low ",1797," $5.00 "," $350.00 "," $628,950.00 "," $18,868.50 "," $610,081.50 "," $467,220.00 "," $142,861.50 ",9/1/2013,9," September ",2013
Government,Mexico," Paseo "," Low ",1760," $10.00 "," $7.00 "," $12,320.00 "," $369.60 "," $11,950.40 "," $8,800.00 "," $3,150.40 ",9/1/2013,9," September ",2013
Government,"United States of America"," Velo "," Low ",736," $120.00 "," $20.00 "," $14,720.00 "," $588.80 "," $14,131.20 "," $7,360.00 "," $6,771.20 ",9/1/2013,9," September ",2013
Government,Canada," Velo "," Low ",2646," $120.00 "," $20.00 "," $52,920.00 "," $2,116.80 "," $50,803.20 "," $26,460.00 "," $24,343.20 ",9/1/2013,9," September ",2013
Government,"United States of America"," VTT "," Low ",349," $250.00 "," $350.00 "," $122,150.00 "," $4,886.00 "," $117,264.00 "," $90,740.00 "," $26,524.00 ",9/1/2013,9," September ",2013
Government,Canada," Paseo "," Medium ",2349," $10.00 "," $7.00 "," $16,443.00 "," $822.15 "," $15,620.85 "," $11,745.00 "," $3,875.85 ",9/1/2013,9," September ",2013
Government,Mexico," Montana "," Medium ",720," $5.00 "," $350.00 "," $252,000.00 "," $12,600.00 "," $239,400.00 "," $187,200.00 "," $52,200.00 ",9/1/2013,9," September ",2013
Government,Mexico," Carretera "," Medium ",1834," $3.00 "," $20.00 "," $36,680.00 "," $2,567.60 "," $34,112.40 "," $18,340.00 "," $15,772.40 ",9/1/2013,9," September ",2013
Government,France," Paseo "," Medium ",1031," $10.00 "," $7.00 "," $7,217.00 "," $505.19 "," $6,711.81 "," $5,155.00 "," $1,556.81 ",9/1/2013,9," September ",2013
"Channel Partners",Germany," VTT "," Medium ",2215," $250.00 "," $12.00 "," $26,580.00 "," $1,860.60 "," $24,719.40 "," $6,645.00 "," $18,074.40 ",9/1/2013,9," September ",2013
Midmarket,"United States of America"," Paseo "," Medium ",2931," $10.00 "," $15.00 "," $43,965.00 "," $3,077.55 "," $40,887.45 "," $29,310.00 "," $11,577.45 ",9/1/2013,9," September ",2013
"Small Business",Germany," Paseo "," Medium ",1123," $10.00 "," $300.00 "," $336,900.00 "," $23,583.00 "," $313,317.00 "," $280,750.00 "," $32,567.00 ",9/1/2013,9," September ",2013
Enterprise,Germany," Amarilla "," Medium ",994," $260.00 "," $125.00 "," $124,250.00 "," $8,697.50 "," $115,552.50 "," $119,280.00 "," $(3,727.50)",9/1/2013,9," September ",2013
"Small Business",Canada," Montana "," Medium ",1283," $5.00 "," $300.00 "," $384,900.00 "," $30,792.00 "," $354,108.00 "," $320,750.00 "," $33,358.00 ",9/1/2013,9," September ",2013
Government,Germany," Paseo "," Medium ",2409," $10.00 "," $7.00 "," $16,863.00 "," $1,349.04 "," $15,513.96 "," $12,045.00 "," $3,468.96 ",9/1/2013,9," September ",2013
