Segment,Country,Product,"Discount Band","Units Sold","Manufacturing Price","Sale Price","Gross Sales",Discounts,Sales,COGS,Profit,Date,"Month Number","Month Name",Year
"Channel Partners",Germany," Amarilla "," High ",2574," $260.00 "," $12.00 "," $30,888.00 "," $3,088.80 "," $27,799.20 "," $7,722.00 "," $20,077.20 ",8/1/2014,8," August ",2014
"Channel Partners",Canada," Amarilla "," High ",3520.5," $260.00 "," $12.00 "," $42,246.00 "," $4,224.60 "," $38,021.40 "," $10,561.50 "," $27,459.90 ",4/1/2014,4," April ",2014
"Channel Partners","United States of America"," Amarilla "," Low ",1989," $260.00 "," $12.00 "," $23,868.00 "," $238.68 "," $23,629.32 "," $5,967.00 "," $17,662.32 ",9/1/2013,9," September ",2013
"Channel Partners",France," Amarilla "," Medium ",306," $260.00 "," $12.00 "," $3,672.00 "," $330.48 "," $3,341.52 "," $918.00 "," $2,423.52 ",12/1/2013,12," December ",2013
"Channel Partners",Mexico," Amarilla "," Medium ",1123," $260.00 "," $12.00 "," $13,476.00 "," $673.80 "," $12,802.20 "," $3,369.00 "," $9,433.20 ",8/1/2014,8," August ",2014
"Channel Partners","United States of America"," Amarilla "," None ",1953," $260.00 "," $12.00 "," $23,436.00 "," $-   "," $23,436.00 "," $5,859.00 "," $17,577.00 ",4/1/2014,4," April ",2014
"Channel Partners","United States of America"," Amarilla "," None ",2141," $260.00 "," $12.00 "," $25,692.00 "," $-   "," $25,692.00 "," $6,423.00 "," $19,269.00 ",8/1/2014,8," August ",2014
"Channel Partners",Mexico," Amarilla "," Medium ",1375," $260.00 "," $12.00 "," $16,500.00 "," $1,320.00 "," $15,180.00 "," $4,125.00 "," $11,055.00 ",12/1/2013,12," December ",2013
"Channel Partners","United States of America"," Amarilla "," High ",2914," $260.00 "," $12.00 "," $34,968.00 "," $4,895.52 "," $30,072.48 "," $8,742.00 "," $21,330.48 ",10/1/2014,10," October ",2014
"Channel Partners",France," Amarilla "," High ",2475," $260.00 "," $12.00 "," $29,700.00 "," $4,158.00 "," $25,542.00 "," $7,425.00 "," $18,117.00 ",8/1/2014,8," August ",2014
"Channel Partners","United States of America"," Amarilla "," High ",2015," $260.00 "," $12.00 "," $24,180.00 "," $3,385.20 "," $20,794.80 "," $6,045.00 "," $14,749.80 ",12/1/2013,12," December ",2013
"Channel Partners",France," Amarilla "," High ",1393," $260.00 "," $12.00 "," $16,716.00 "," $2,340.24 "," $14,375.76 "," $4,179.00 "," $10,196.76 ",10/1/2014,10," October ",2014
"Channel Partners",Germany," Amarilla "," High ",1770," $260.00 "," $12.00 "," $21,240.00 "," $2,761.20 "," $18,478.80 "," $5,310.00 "," $13,168.80 ",12/1/2013,12," December ",2013
"Channel Partners",Canada," Amarilla "," High ",2761," $260.00 "," $12.00 "," $33,132.00 "," $3,975.84 "," $29,156.16 "," $8,283.00 "," $20,873.16 ",9/1/2013,9," September ",2013
"Channel Partners",Mexico," Amarilla "," High ",410," $260.00 "," $12.00 "," $4,920.00 "," $639.60 "," $4,280.40 "," $1,230.00 "," $3,050.40 ",10/1/2014,10," October ",2014
"Channel Partners",Germany," Amarilla "," High ",472," $260.00 "," $12.00 "," $5,664.00 "," $623.04 "," $5,040.96 "," $1,416.00 "," $3,624.96 ",10/1/2014,10," October ",2014
"Channel Partners",Canada," Carretera "," Low ",1295," $3.00 "," $12.00 "," $15,540.00 "," $310.80 "," $15,229.20 "," $3,885.00 "," $11,344.20 ",10/1/2014,10," October ",2014
"Channel Partners",France," Carretera "," Low ",2671," $3.00 "," $12.00 "," $32,052.00 "," $320.52 "," $31,731.48 "," $8,013.00 "," $23,718.48 ",9/1/2014,9," September ",2014
"Channel Partners","United States of America"," Carretera "," High ",386," $3.00 "," $12.00 "," $4,632.00 "," $463.20 "," $4,168.80 "," $1,158.00 "," $3,010.80 ",10/1/2013,10," October ",2013
"Channel Partners",Mexico," Carretera "," Medium ",367," $3.00 "," $12.00 "," $4,404.00 "," $396.36 "," $4,007.64 "," $1,101.00 "," $2,906.64 ",10/1/2013,10," October ",2013
"Channel Partners",France," Carretera "," Medium ",1865," $3.00 "," $12.00 "," $22,380.00 "," $1,119.00 "," $21,261.00 "," $5,595.00 "," $15,666.00 ",2/1/2014,2," February ",2014
"Channel Partners",Germany," Carretera "," Medium ",1116," $3.00 "," $12.00 "," $13,392.00 "," $669.60 "," $12,722.40 "," $3,348.00 "," $9,374.40 ",2/1/2014,2," February ",2014
"Channel Partners",Canada," Carretera "," Medium ",1884," $3.00 "," $12.00 "," $22,608.00 "," $1,582.56 "," $21,025.44 "," $5,652.00 "," $15,373.44 ",8/1/2014,8," August ",2014
"Channel Partners","United States of America"," Carretera "," Low ",1858," $3.00 "," $12.00 "," $22,296.00 "," $222.96 "," $22,073.04 "," $5,574.00 "," $16,499.04 ",2/1/2014,2," February ",2014
"Channel Partners",Canada," Carretera "," Low ",1445," $3.00 "," $12.00 "," $17,340.00 "," $173.40 "," $17,166.60 "," $4,335.00 "," $12,831.60 ",9/1/2014,9," September ",2014
"Channel Partners",Germany," Carretera "," Medium ",1580," $3.00 "," $12.00 "," $18,960.00 "," $1,706.40 "," $17,253.60 "," $4,740.00 "," $12,513.60 ",9/1/2014,9," September ",2014
"Channel Partners","United States of America"," Carretera "," Low ",1947," $3.00 "," $12.00 "," $23,364.00 "," $700.92 "," $22,663.08 "," $5,841.00 "," $16,822.08 ",9/1/2014,9," September ",2014
"Channel Partners",Canada," Carretera "," Low ",908," $3.00 "," $12.00 "," $10,896.00 "," $326.88 "," $10,569.12 "," $2,724.00 "," $7,845.12 ",12/1/2013,12," December ",2013
"Channel Partners",Mexico," Carretera "," Medium ",727," $3.00 "," $12.00 "," $8,724.00 "," $610.68 "," $8,113.32 "," $2,181.00 "," $5,932.32 ",2/1/2014,2," February ",2014
"Channel Partners",Germany," Carretera "," Low ",766," $3.00 "," $12.00 "," $9,192.00 "," $91.92 "," $9,100.08 "," $2,298.00 "," $6,802.08 ",10/1/2013,10," October ",2013
"Channel Partners",Canada," Carretera "," High ",1937," $3.00 "," $12.00 "," $23,244.00 "," $2,556.84 "," $20,687.16 "," $5,811.00 "," $14,876.16 ",2/1/2014,2," February ",2014
"Channel Partners",Mexico," Carretera "," Medium ",562," $3.00 "," $12.00 "," $6,744.00 "," $404.64 "," $6,339.36 "," $1,686.00 "," $4,653.36 ",9/1/2014,9," September ",2014
"Channel Partners",France," Carretera "," High ",1198," $3.00 "," $12.00 "," $14,376.00 "," $1,581.36 "," $12,794.64 "," $3,594.00 "," $9,200.64 ",10/1/2013,10," October ",2013
"Channel Partners",Canada," Carretera "," Medium ",2299," $3.00 "," $12.00 "," $27,588.00 "," $1,655.28 "," $25,932.72 "," $6,897.00 "," $19,035.72 ",10/1/2013,10," October ",2013
"Channel Partners",Germany," Montana "," None ",1545," $5.00 "," $12.00 "," $18,540.00 "," $-   "," $18,540.00 "," $4,635.00 "," $13,905.00 ",6/1/2014,6," June ",2014
