Segment,Country,Product,"Discount Band","Units Sold","Manufacturing Price","Sale Price","Gross Sales",Discounts,Sales,COGS,Profit,Date,"Month Number","Month Name",Year
Government,Mexico," Amarilla "," Low ",1865," $260.00 "," $350.00 "," $652,750.00 "," $26,110.00 "," $626,640.00 "," $484,900.00 "," $141,740.00 ",2/1/2014,2," February ",2014
Government,Germany," Amarilla "," Medium ",1350," $260.00 "," $350.00 "," $472,500.00 "," $23,625.00 "," $448,875.00 "," $351,000.00 "," $97,875.00 ",2/1/2014,2," February ",2014
Government,Canada," Amarilla "," Medium ",552," $260.00 "," $350.00 "," $193,200.00 "," $9,660.00 "," $183,540.00 "," $143,520.00 "," $40,020.00 ",8/1/2014,8," August ",2014
Government,Canada," Amarilla "," Medium ",1228," $260.00 "," $350.00 "," $429,800.00 "," $21,490.00 "," $408,310.00 "," $319,280.00 "," $89,030.00 ",10/1/2013,10," October ",2013
Government,Mexico," Amarilla "," Medium ",1694," $260.00 "," $20.00 "," $33,880.00 "," $3,049.20 "," $30,830.80 "," $16,940.00 "," $13,890.80 ",11/1/2014,11," November ",2014
Government,Canada," Amarilla "," Medium ",1269," $260.00 "," $350.00 "," $444,150.00 "," $39,973.50 "," $404,176.50 "," $329,940.00 "," $74,236.50 ",10/1/2014,10," October ",2014
Government,"United States of America"," Amarilla "," Medium ",2071," $260.00 "," $350.00 "," $724,850.00 "," $65,236.50 "," $659,613.50 "," $538,460.00 "," $121,153.50 ",9/1/2014,9," September ",2014
Government,Mexico," Amarilla "," Medium ",1683," $260.00 "," $7.00 "," $11,781.00 "," $589.05 "," $11,191.95 "," $8,415.00 "," $2,776.95 ",7/1/2014,7," July ",2014
Government,Germany," Amarilla "," Medium ",1159," $260.00 "," $7.00 "," $8,113.00 "," $405.65 "," $7,707.35 "," $5,795.00 "," $1,912.35 ",10/1/2013,10," October ",2013
Government,Germany," Amarilla "," None ",1686," $260.00 "," $7.00 "," $11,802.00 "," $-   "," $11,802.00 "," $8,430.00 "," $3,372.00 ",7/1/2014,7," July ",2014
Government,Germany," Amarilla "," Low ",2966," $260.00 "," $350.00 "," $1,038,100.00 "," $20,762.00 "," $1,017,338.00 "," $771,160.00 "," $246,178.00 ",10/1/2013,10," October ",2013
Government,"United States of America"," Amarilla "," Low ",1236," $260.00 "," $20.00 "," $24,720.00 "," $494.40 "," $24,225.60 "," $12,360.00 "," $11,865.60 ",11/1/2014,11," November ",2014
Government,France," Amarilla "," Low ",941," $260.00 "," $20.00 "," $18,820.00 "," $376.40 "," $18,443.60 "," $9,410.00 "," $9,033.60 ",11/1/2014,11," November ",2014
Government,Canada," Amarilla "," Medium ",1135," $260.00 "," $7.00 "," $7,945.00 "," $556.15 "," $7,388.85 "," $5,675.00 "," $1,713.85 ",6/1/2014,6," June ",2014
Government,"United States of America"," Amarilla "," Medium ",1282," $260.00 "," $20.00 "," $25,640.00 "," $2,051.20 "," $23,588.80 "," $12,820.00 "," $10,768.80 ",6/1/2014,6," June ",2014
Government,Canada," Amarilla "," Medium ",1118," $260.00 "," $20.00 "," $22,360.00 "," $1,565.20 "," $20,794.80 "," $11,180.00 "," $9,614.80 ",11/1/2014,11," November ",2014
Government,France," Amarilla "," None ",2750," $260.00 "," $350.00 "," $962,500.00 "," $-   "," $962,500.00 "," $715,000.00 "," $247,500.00 ",2/1/2014,2," February ",2014
Government,France," Amarilla "," None ",1899," $260.00 "," $20.00 "," $37,980.00 "," $-   "," $37,980.00 "," $18,990.00 "," $18,990.00 ",6/1/2014,6," June ",2014
Government,"United States of America"," Amarilla "," High ",270," $260.00 "," $350.00 "," $94,500.00 "," $11,340.00 "," $83,160.00 "," $70,200.00 "," $12,960.00 ",2/1/2014,2," February ",2014
Government,"United States of America"," Amarilla "," None ",1143," $260.00 "," $7.00 "," $8,001.00 "," $-   "," $8,001.00 "," $5,715.00 "," $2,286.00 ",10/1/2014,10," October ",2014
Government,Germany," Amarilla "," Medium ",1520," $260.00 "," $20.00 "," $30,400.00 "," $2,432.00 "," $27,968.00 "," $15,200.00 "," $12,768.00 ",11/1/2014,11," November ",2014
Government,Germany," Amarilla "," Medium ",1366," $260.00 "," $20.00 "," $27,320.00 "," $2,185.60 "," $25,134.40 "," $13,660.00 "," $11,474.40 ",6/1/2014,6," June ",2014
Government,"United States of America"," Amarilla "," Medium ",2907," $260.00 "," $7.00 "," $20,349.00 "," $1,627.92 "," $18,721.08 "," $14,535.00 "," $4,186.08 ",6/1/2014,6," June ",2014
Government,Canada," Amarilla "," Medium ",708," $260.00 "," $20.00 "," $14,160.00 "," $1,132.80 "," $13,027.20 "," $7,080.00 "," $5,947.20 ",6/1/2014,6," June ",2014
Government,Mexico," Amarilla "," High ",344," $260.00 "," $350.00 "," $120,400.00 "," $13,244.00 "," $107,156.00 "," $89,440.00 "," $17,716.00 ",10/1/2013,10," October ",2013
Government,Mexico," Amarilla "," High ",2629," $260.00 "," $20.00 "," $52,580.00 "," $5,783.80 "," $46,796.20 "," $26,290.00 "," $20,506.20 ",1/1/2014,1," January ",2014
Government,Canada," Amarilla "," High ",707," $260.00 "," $350.00 "," $247,450.00 "," $24,745.00 "," $222,705.00 "," $183,820.00 "," $38,885.00 ",9/1/2014,9," September ",2014
Government,Mexico," Amarilla "," Medium ",1679," $260.00 "," $350.00 "," $587,650.00 "," $35,259.00 "," $552,391.00 "," $436,540.00 "," $115,851.00 ",9/1/2014,9," September ",2014
