Segment,Country,Product,"Discount Band","Units Sold","Manufacturing Price","Sale Price","Gross Sales",Discounts,Sales,COGS,Profit,Date,"Month Number","Month Name",Year
"Channel Partners",Mexico," Carretera "," Medium ",562," $3.00 "," $12.00 "," $6,744.00 "," $404.64 "," $6,339.36 "," $1,686.00 "," $4,653.36 ",9/1/2014,9," September ",2014
"Channel Partners",Mexico," Amarilla "," Medium ",1375," $260.00 "," $12.00 "," $16,500.00 "," $1,320.00 "," $15,180.00 "," $4,125.00 "," $11,055.00 ",12/1/2013,12," December ",2013
"Channel Partners",France," Amarilla "," Medium ",306," $260.00 "," $12.00 "," $3,672.00 "," $330.48 "," $3,341.52 "," $918.00 "," $2,423.52 ",12/1/2013,12," December ",2013
"Channel Partners","United States of America"," VTT "," Medium ",1956," $250.00 "," $12.00 "," $23,472.00 "," $2,112.48 "," $21,359.52 "," $5,868.00 "," $15,491.52 ",1/1/2014,1," January ",2014
"Channel Partners",Canada," Paseo "," Medium ",2431," $10.00 "," $12.00 "," $29,172.00 "," $1,458.60 "," $27,713.40 "," $7,293.00 "," $20,420.40 ",12/1/2014,12," December ",2014
"Channel Partners",Canada," Velo "," Medium ",2431," $120.00 "," $12.00 "," $29,172.00 "," $1,458.60 "," $27,713.40 "," $7,293.00 "," $20,420.40 ",12/1/2014,12," December ",2014
"Channel Partners",Mexico," Carretera "," Medium ",727," $3.00 "," $12.00 "," $8,724.00 "," $610.68 "," $8,113.32 "," $2,181.00 "," $5,932.32 ",2/1/2014,2," February ",2014
"Channel Partners",Canada," Carretera "," Medium ",1884," $3.00 "," $12.00 "," $22,608.00 "," $1,582.56 "," $21,025.44 "," $5,652.00 "," $15,373.44 ",8/1/2014,8," August ",2014
"Channel Partners",Mexico," Amarilla "," Medium ",1123," $260.00 "," $12.00 "," $13,476.00 "," $673.80 "," $12,802.20 "," $3,369.00 "," $9,433.20 ",8/1/2014,8," August ",2014
"Channel Partners",Mexico," Montana "," Medium ",2340," $5.00 "," $12.00 "," $28,080.00 "," $1,965.60 "," $26,114.40 "," $7,020.00 "," $19,094.40 ",1/1/2014,1," January ",2014
"Channel Partners",France," Carretera "," Medium ",1865," $3.00 "," $12.00 "," $22,380.00 "," $1,119.00 "," $21,261.00 "," $5,595.00 "," $15,666.00 ",2/1/2014,2," February ",2014
"Channel Partners",Germany," Carretera "," Medium ",1116," $3.00 "," $12.00 "," $13,392.00 "," $669.60 "," $12,722.40 "," $3,348.00 "," $9,374.40 ",2/1/2014,2," February ",2014
