Segment,Country,Product,"Discount Band","Units Sold","Manufacturing Price","Sale Price","Gross Sales",Discounts,Sales,COGS,Profit,Date,"Month Number","Month Name",Year
Midmarket,"United States of America"," Amarilla "," None ",615," $260.00 "," $15.00 "," $9,225.00 "," $-   "," $9,225.00 "," $6,150.00 "," $3,075.00 ",12/1/2014,12," December ",2014
Midmarket,"United States of America"," Amarilla "," High ",3199.5," $260.00 "," $15.00 "," $47,992.50 "," $5,279.18 "," $42,713.33 "," $31,995.00 "," $10,718.33 ",7/1/2014,7," July ",2014
Midmarket,France," Amarilla "," High ",2072," $260.00 "," $15.00 "," $31,080.00 "," $3,108.00 "," $27,972.00 "," $20,720.00 "," $7,252.00 ",12/1/2014,12," December ",2014
Midmarket,Canada," Amarilla "," Medium ",1630.5," $260.00 "," $15.00 "," $24,457.50 "," $2,201.18 "," $22,256.33 "," $16,305.00 "," $5,951.33 ",7/1/2014,7," July ",2014
Midmarket,Germany," Amarilla "," Medium ",970," $260.00 "," $15.00 "," $14,550.00 "," $1,309.50 "," $13,240.50 "," $9,700.00 "," $3,540.50 ",11/1/2013,11," November ",2013
Midmarket,Germany," Amarilla "," Medium ",711," $260.00 "," $15.00 "," $10,665.00 "," $853.20 "," $9,811.80 "," $7,110.00 "," $2,701.80 ",12/1/2014,12," December ",2014
Midmarket,"United States of America"," Amarilla "," Low ",671," $260.00 "," $15.00 "," $10,065.00 "," $402.60 "," $9,662.40 "," $6,710.00 "," $2,952.40 ",10/1/2013,10," October ",2013
Midmarket,Mexico," Amarilla "," High ",1870," $260.00 "," $15.00 "," $28,050.00 "," $3,927.00 "," $24,123.00 "," $18,700.00 "," $5,423.00 ",11/1/2013,11," November ",2013
Midmarket,Canada," Amarilla "," High ",1743," $260.00 "," $15.00 "," $26,145.00 "," $3,660.30 "," $22,484.70 "," $17,430.00 "," $5,054.70 ",10/1/2013,10," October ",2013
Midmarket,"United States of America"," Amarilla "," High ",2548," $260.00 "," $15.00 "," $38,220.00 "," $4,586.40 "," $33,633.60 "," $25,480.00 "," $8,153.60 ",11/1/2013,11," November ",2013
Midmarket,France," Amarilla "," Low ",321," $260.00 "," $15.00 "," $4,815.00 "," $48.15 "," $4,766.85 "," $3,210.00 "," $1,556.85 ",11/1/2013,11," November ",2013
Midmarket,Mexico," Amarilla "," High ",2157," $260.00 "," $15.00 "," $32,355.00 "," $3,559.05 "," $28,795.95 "," $21,570.00 "," $7,225.95 ",12/1/2014,12," December ",2014
Midmarket,Germany," Carretera "," None ",888," $3.00 "," $15.00 "," $13,320.00 "," $-   "," $13,320.00 "," $8,880.00 "," $4,440.00 ",6/1/2014,6," June ",2014
