Segment,Country,Product,"Discount Band","Units Sold","Manufacturing Price","Sale Price","Gross Sales",Discounts,Sales,COGS,Profit,Date,"Month Number","Month Name",Year
"Channel Partners","United States of America"," Carretera "," High ",386," $3.00 "," $12.00 "," $4,632.00 "," $463.20 "," $4,168.80 "," $1,158.00 "," $3,010.80 ",10/1/2013,10," October ",2013
"Channel Partners",Germany," Amarilla "," High ",2574," $260.00 "," $12.00 "," $30,888.00 "," $3,088.80 "," $27,799.20 "," $7,722.00 "," $20,077.20 ",8/1/2014,8," August ",2014
"Channel Partners","United States of America"," Paseo "," High ",386," $10.00 "," $12.00 "," $4,632.00 "," $463.20 "," $4,168.80 "," $1,158.00 "," $3,010.80 ",10/1/2013,10," October ",2013
"Channel Partners",Germany," Paseo "," High ",1013," $10.00 "," $12.00 "," $12,156.00 "," $1,580.28 "," $10,575.72 "," $3,039.00 "," $7,536.72 ",12/1/2014,12," December ",2014
"Channel Partners",Mexico," Velo "," High ",604," $120.00 "," $12.00 "," $7,248.00 "," $942.24 "," $6,305.76 "," $1,812.00 "," $4,493.76 ",6/1/2014,6," June ",2014
"Channel Partners",Germany," Velo "," High ",1013," $120.00 "," $12.00 "," $12,156.00 "," $1,580.28 "," $10,575.72 "," $3,039.00 "," $7,536.72 ",12/1/2014,12," December ",2014
"Channel Partners",Mexico," Amarilla "," High ",410," $260.00 "," $12.00 "," $4,920.00 "," $639.60 "," $4,280.40 "," $1,230.00 "," $3,050.40 ",10/1/2014,10," October ",2014
"Channel Partners",France," Carretera "," High ",1198," $3.00 "," $12.00 "," $14,376.00 "," $1,581.36 "," $12,794.64 "," $3,594.00 "," $9,200.64 ",10/1/2013,10," October ",2013
"Channel Partners",France," Paseo "," High ",2425.5," $10.00 "," $12.00 "," $29,106.00 "," $3,201.66 "," $25,904.34 "," $7,276.50 "," $18,627.84 ",7/1/2014,7," July ",2014
"Channel Partners",France," Paseo "," High ",1198," $10.00 "," $12.00 "," $14,376.00 "," $1,581.36 "," $12,794.64 "," $3,594.00 "," $9,200.64 ",10/1/2013,10," October ",2013
"Channel Partners",Germany," Amarilla "," High ",1770," $260.00 "," $12.00 "," $21,240.00 "," $2,761.20 "," $18,478.80 "," $5,310.00 "," $13,168.80 ",12/1/2013,12," December ",2013
"Channel Partners",Germany," Velo "," High ",472," $120.00 "," $12.00 "," $5,664.00 "," $623.04 "," $5,040.96 "," $1,416.00 "," $3,624.96 ",10/1/2014,10," October ",2014
"Channel Partners",France," Paseo "," High ",1393," $10.00 "," $12.00 "," $16,716.00 "," $2,340.24 "," $14,375.76 "," $4,179.00 "," $10,196.76 ",10/1/2014,10," October ",2014
"Channel Partners",Mexico," VTT "," High ",1005," $250.00 "," $12.00 "," $12,060.00 "," $1,326.60 "," $10,733.40 "," $3,015.00 "," $7,718.40 ",9/1/2013,9," September ",2013
"Channel Partners",Canada," VTT "," High ",2109," $250.00 "," $12.00 "," $25,308.00 "," $3,036.96 "," $22,271.04 "," $6,327.00 "," $15,944.04 ",5/1/2014,5," May ",2014
"Channel Partners",France," Amarilla "," High ",1393," $260.00 "," $12.00 "," $16,716.00 "," $2,340.24 "," $14,375.76 "," $4,179.00 "," $10,196.76 ",10/1/2014,10," October ",2014
"Channel Partners","United States of America"," Amarilla "," High ",2015," $260.00 "," $12.00 "," $24,180.00 "," $3,385.20 "," $20,794.80 "," $6,045.00 "," $14,749.80 ",12/1/2013,12," December ",2013
"Channel Partners",Mexico," Paseo "," High ",571," $10.00 "," $12.00 "," $6,852.00 "," $890.76 "," $5,961.24 "," $1,713.00 "," $4,248.24 ",7/1/2014,7," July ",2014
"Channel Partners",Germany," Amarilla "," High ",472," $260.00 "," $12.00 "," $5,664.00 "," $623.04 "," $5,040.96 "," $1,416.00 "," $3,624.96 ",10/1/2014,10," October ",2014
"Channel Partners",Canada," Carretera "," High ",1937," $3.00 "," $12.00 "," $23,244.00 "," $2,556.84 "," $20,687.16 "," $5,811.00 "," $14,876.16 ",2/1/2014,2," February ",2014
"Channel Partners","United States of America"," VTT "," High ",1806," $250.00 "," $12.00 "," $21,672.00 "," $3,250.80 "," $18,421.20 "," $5,418.00 "," $13,003.20 ",5/1/2014,5," May ",2014
"Channel Partners","United States of America"," Paseo "," High ",2914," $10.00 "," $12.00 "," $34,968.00 "," $4,895.52 "," $30,072.48 "," $8,742.00 "," $21,330.48 ",10/1/2014,10," October ",2014
"Channel Partners",Canada," Paseo "," High ",2222," $10.00 "," $12.00 "," $26,664.00 "," $3,732.96 "," $22,931.04 "," $6,666.00 "," $16,265.04 ",11/1/2013,11," November ",2013
"Channel Partners",France," Amarilla "," High ",2475," $260.00 "," $12.00 "," $29,700.00 "," $4,158.00 "," $25,542.00 "," $7,425.00 "," $18,117.00 ",8/1/2014,8," August ",2014
"Channel Partners",Mexico," Velo "," High ",410," $120.00 "," $12.00 "," $4,920.00 "," $639.60 "," $4,280.40 "," $1,230.00 "," $3,050.40 ",10/1/2014,10," October ",2014
"Channel Partners","United States of America"," Amarilla "," High ",2914," $260.00 "," $12.00 "," $34,968.00 "," $4,895.52 "," $30,072.48 "," $8,742.00 "," $21,330.48 ",10/1/2014,10," October ",2014
"Channel Partners",Mexico," Montana "," High ",604," $5.00 "," $12.00 "," $7,248.00 "," $942.24 "," $6,305.76 "," $1,812.00 "," $4,493.76 ",6/1/2014,6," June ",2014
"Channel Partners","United States of America"," Paseo "," High ",914," $10.00 "," $12.00 "," $10,968.00 "," $1,645.20 "," $9,322.80 "," $2,742.00 "," $6,580.80 ",12/1/2014,12," December ",2014
"Channel Partners",Mexico," Velo "," High ",500," $120.00 "," $12.00 "," $6,000.00 "," $900.00 "," $5,100.00 "," $1,500.00 "," $3,600.00 ",3/1/2014,3," March ",2014
"Channel Partners",Canada," Amarilla "," High ",2761," $260.00 "," $12.00 "," $33,132.00 "," $3,975.84 "," $29,156.16 "," $8,283.00 "," $20,873.16 ",9/1/2013,9," September ",2013
"Channel Partners",Canada," Paseo "," High ",4026," $10.00 "," $12.00 "," $48,312.00 "," $5,314.32 "," $42,997.68 "," $12,078.00 "," $30,919.68 ",7/1/2014,7," July ",2014
"Channel Partners","United States of America"," Velo "," High ",914," $120.00 "," $12.00 "," $10,968.00 "," $1,645.20 "," $9,322.80 "," $2,742.00 "," $6,580.80 ",12/1/2014,12," December ",2014
"Channel Partners",Mexico," Montana "," High ",2661," $5.00 "," $12.00 "," $31,932.00 "," $3,831.84 "," $28,100.16 "," $7,983.00 "," $20,117.16 ",5/1/2014,5," May ",2014
"Channel Partners",Canada," Amarilla "," High ",3520.5," $260.00 "," $12.00 "," $42,246.00 "," $4,224.60 "," $38,021.40 "," $10,561.50 "," $27,459.90 ",4/1/2014,4," April ",2014
"Channel Partners",France," VTT "," High ",1734," $250.00 "," $12.00 "," $20,808.00 "," $2,288.88 "," $18,519.12 "," $5,202.00 "," $13,317.12 ",1/1/2014,1," January ",2014
Enterprise,Canada," Carretera "," High ",2416," $3.00 "," $125.00 "," $302,000.00 "," $36,240.00 "," $265,760.00 "," $289,920.00 "," $(24,160.00)",9/1/2013,9," September ",2013
Enterprise,"United States of America"," Carretera "," High ",3445.5," $3.00 "," $125.00 "," $430,687.50 "," $43,068.75 "," $387,618.75 "," $413,460.00 "," $(25,841.25)",4/1/2014,4," April ",2014
Enterprise,France," Carretera "," High ",1482," $3.00 "," $125.00 "," $185,250.00 "," $18,525.00 "," $166,725.00 "," $177,840.00 "," $(11,115.00)",12/1/2013,12," December ",2013
Enterprise,"United States of America"," Amarilla "," High ",579," $260.00 "," $125.00 "," $72,375.00 "," $7,237.50 "," $65,137.50 "," $69,480.00 "," $(4,342.50)",1/1/2014,1," January ",2014
Enterprise,"United States of America"," Montana "," High ",1804," $5.00 "," $125.00 "," $225,500.00 "," $22,550.00 "," $202,950.00 "," $216,480.00 "," $(13,530.00)",11/1/2013,11," November ",2013
Enterprise,"United States of America"," VTT "," High ",2387," $250.00 "," $125.00 "," $298,375.00 "," $35,805.00 "," $262,570.00 "," $286,440.00 "," $(23,870.00)",11/1/2014,11," November ",2014
Enterprise,Germany," Amarilla "," High ",3165," $260.00 "," $125.00 "," $395,625.00 "," $43,518.75 "," $352,106.25 "," $379,800.00 "," $(27,693.75)",1/1/2014,1," January ",2014
Enterprise,Mexico," Carretera "," High ",2156," $3.00 "," $125.00 "," $269,500.00 "," $32,340.00 "," $237,160.00 "," $258,720.00 "," $(21,560.00)",10/1/2014,10," October ",2014
Enterprise,"United States of America"," Velo "," High ",1596," $120.00 "," $125.00 "," $199,500.00 "," $19,950.00 "," $179,550.00 "," $191,520.00 "," $(11,970.00)",9/1/2014,9," September ",2014
