Segment,Country,Product,"Discount Band","Units Sold","Manufacturing Price","Sale Price","Gross Sales",Discounts,Sales,COGS,Profit,Date,"Month Number","Month Name",Year
"Channel Partners",France," Paseo "," Low ",1785," $10.00 "," $12.00 "," $21,420.00 "," $428.40 "," $20,991.60 "," $5,355.00 "," $15,636.60 ",11/1/2013,11," November ",2013
"Channel Partners",Germany," VTT "," Low ",2479," $250.00 "," $12.00 "," $29,748.00 "," $892.44 "," $28,855.56 "," $7,437.00 "," $21,418.56 ",1/1/2014,1," January ",2014
"Channel Partners",France," Montana "," Low ",1901," $5.00 "," $12.00 "," $22,812.00 "," $684.36 "," $22,127.64 "," $5,703.00 "," $16,424.64 ",6/1/2014,6," June ",2014
"Channel Partners",Canada," Carretera "," Low ",908," $3.00 "," $12.00 "," $10,896.00 "," $326.88 "," $10,569.12 "," $2,724.00 "," $7,845.12 ",12/1/2013,12," December ",2013
"Channel Partners","United States of America"," Carretera "," Low ",1947," $3.00 "," $12.00 "," $23,364.00 "," $700.92 "," $22,663.08 "," $5,841.00 "," $16,822.08 ",9/1/2014,9," September ",2014
"Channel Partners","United States of America"," Carretera "," Low ",1858," $3.00 "," $12.00 "," $22,296.00 "," $222.96 "," $22,073.04 "," $5,574.00 "," $16,499.04 ",2/1/2014,2," February ",2014
"Channel Partners","United States of America"," Paseo "," Low ",1142," $10.00 "," $12.00 "," $13,704.00 "," $274.08 "," $13,429.92 "," $3,426.00 "," $10,003.92 ",6/1/2014,6," June ",2014
"Channel Partners",Mexico," VTT "," Low ",1916," $250.00 "," $12.00 "," $22,992.00 "," $689.76 "," $22,302.24 "," $5,748.00 "," $16,554.24 ",4/1/2014,4," April ",2014
"Channel Partners",Canada," Carretera "," Low ",1445," $3.00 "," $12.00 "," $17,340.00 "," $173.40 "," $17,166.60 "," $4,335.00 "," $12,831.60 ",9/1/2014,9," September ",2014
"Channel Partners",Germany," Paseo "," Low ",766," $10.00 "," $12.00 "," $9,192.00 "," $91.92 "," $9,100.08 "," $2,298.00 "," $6,802.08 ",10/1/2013,10," October ",2013
"Channel Partners",France," Carretera "," Low ",2671," $3.00 "," $12.00 "," $32,052.00 "," $320.52 "," $31,731.48 "," $8,013.00 "," $23,718.48 ",9/1/2014,9," September ",2014
"Channel Partners",Germany," Carretera "," Low ",766," $3.00 "," $12.00 "," $9,192.00 "," $91.92 "," $9,100.08 "," $2,298.00 "," $6,802.08 ",10/1/2013,10," October ",2013
"Channel Partners","United States of America"," Paseo "," Low ",1369.5," $10.00 "," $12.00 "," $16,434.00 "," $493.02 "," $15,940.98 "," $4,108.50 "," $11,832.48 ",7/1/2014,7," July ",2014
"Channel Partners",Canada," Paseo "," Low ",1295," $10.00 "," $12.00 "," $15,540.00 "," $310.80 "," $15,229.20 "," $3,885.00 "," $11,344.20 ",10/1/2014,10," October ",2014
