Segment,Country,Product,"Discount Band","Units Sold","Manufacturing Price","Sale Price","Gross Sales",Discounts,Sales,COGS,Profit,Date,"Month Number","Month Name",Year
"Channel Partners",Germany," Montana "," None ",1545," $5.00 "," $12.00 "," $18,540.00 "," $-   "," $18,540.00 "," $4,635.00 "," $13,905.00 ",6/1/2014,6," June ",2014
"Channel Partners",Canada," Paseo "," None ",2518," $10.00 "," $12.00 "," $30,216.00 "," $-   "," $30,216.00 "," $7,554.00 "," $22,662.00 ",6/1/2014,6," June ",2014
"Channel Partners","United States of America"," Paseo "," None ",912," $10.00 "," $12.00 "," $10,944.00 "," $-   "," $10,944.00 "," $2,736.00 "," $8,208.00 ",11/1/2013,11," November ",2013
"Channel Partners",Germany," Paseo "," None ",367," $10.00 "," $12.00 "," $4,404.00 "," $-   "," $4,404.00 "," $1,101.00 "," $3,303.00 ",7/1/2014,7," July ",2014
"Channel Partners",Canada," Montana "," None ",2518," $5.00 "," $12.00 "," $30,216.00 "," $-   "," $30,216.00 "," $7,554.00 "," $22,662.00 ",6/1/2014,6," June ",2014
"Channel Partners",Germany," Velo "," None ",2161," $120.00 "," $12.00 "," $25,932.00 "," $-   "," $25,932.00 "," $6,483.00 "," $19,449.00 ",3/1/2014,3," March ",2014
"Channel Partners",Germany," Velo "," None ",1545," $120.00 "," $12.00 "," $18,540.00 "," $-   "," $18,540.00 "," $4,635.00 "," $13,905.00 ",6/1/2014,6," June ",2014
"Channel Partners",Germany," VTT "," None ",2838," $250.00 "," $12.00 "," $34,056.00 "," $-   "," $34,056.00 "," $8,514.00 "," $25,542.00 ",4/1/2014,4," April ",2014
"Channel Partners","United States of America"," Amarilla "," None ",1953," $260.00 "," $12.00 "," $23,436.00 "," $-   "," $23,436.00 "," $5,859.00 "," $17,577.00 ",4/1/2014,4," April ",2014
"Channel Partners","United States of America"," Amarilla "," None ",2141," $260.00 "," $12.00 "," $25,692.00 "," $-   "," $25,692.00 "," $6,423.00 "," $19,269.00 ",8/1/2014,8," August ",2014
Enterprise,Canada," Montana "," None ",345," $5.00 "," $125.00 "," $43,125.00 "," $-   "," $43,125.00 "," $41,400.00 "," $1,725.00 ",10/1/2013,10," October ",2013
Enterprise,Canada," Montana "," None ",2665.5," $5.00 "," $125.00 "," $333,187.50 "," $-   "," $333,187.50 "," $319,860.00 "," $13,327.50 ",7/1/2014,7," July ",2014
Enterprise,France," Velo "," None ",1804," $120.00 "," $125.00 "," $225,500.00 "," $-   "," $225,500.00 "," $216,480.00 "," $9,020.00 ",2/1/2014,2," February ",2014
Enterprise,"United States of America"," Velo "," None ",2821," $120.00 "," $125.00 "," $352,625.00 "," $-   "," $352,625.00 "," $338,520.00 "," $14,105.00 ",8/1/2014,8," August ",2014
Enterprise,Canada," Velo "," None ",345," $120.00 "," $125.00 "," $43,125.00 "," $-   "," $43,125.00 "," $41,400.00 "," $1,725.00 ",10/1/2013,10," October ",2013
Enterprise,Germany," Amarilla "," None ",4219.5," $260.00 "," $125.00 "," $527,437.50 "," $-   "," $527,437.50 "," $506,340.00 "," $21,097.50 ",4/1/2014,4," April ",2014
Government,"United States of America"," Paseo "," None ",1143," $10.00 "," $7.00 "," $8,001.00 "," $-   "," $8,001.00 "," $5,715.00 "," $2,286.00 ",10/1/2014,10," October ",2014
Government,Canada," Paseo "," None ",292," $10.00 "," $20.00 "," $5,840.00 "," $-   "," $5,840.00 "," $2,920.00 "," $2,920.00 ",2/1/2014,2," February ",2014
Government,Germany," Paseo "," None ",1513," $10.00 "," $350.00 "," $529,550.00 "," $-   "," $529,550.00 "," $393,380.00 "," $136,170.00 ",12/1/2014,12," December ",2014
